DateTime,Distance,Status
2022-09-14 10:21:44.874387,0,0
2022-09-14 10:21:54.874646,47089,0
2022-09-14 10:22:04.875396,43264,0
2022-09-14 10:22:14.876183,44521,0
2022-09-14 10:22:24.876443,35721,2
2022-09-14 10:22:34.876702,11664,1
2022-09-14 10:22:44.877332,11449,1
2022-09-14 10:22:54.878185,11236,1
2022-09-14 10:23:04.879123,11236,1
2022-09-14 10:23:14.879380,38025,2
2022-09-14 10:23:24.880151,32041,2
2022-09-14 10:23:34.880431,27556,2
2022-09-14 10:23:44.880507,27889,2
2022-09-14 10:23:54.880516,27225,2
2022-09-14 10:24:04.880521,35721,2
2022-09-14 10:24:14.880957,44521,0
2022-09-14 10:24:24.881521,41616,2
2022-09-14 10:24:34.881779,47524,0
2022-09-14 10:24:44.882170,34225,2
2022-09-14 10:24:54.882798,38416,2
2022-09-14 10:25:04.883565,34225,2
2022-09-14 10:25:14.884048,5625,1
2022-09-14 10:25:24.884685,28900,2
2022-09-14 10:25:34.885389,26896,2
2022-09-14 10:25:44.886168,26896,2
2022-09-14 10:25:54.887139,13456,1
2022-09-14 10:26:04.887953,17956,1
2022-09-14 10:26:14.888093,28561,2
2022-09-14 10:26:24.888932,24964,2
2022-09-14 10:26:34.889160,27225,2
2022-09-14 10:26:44.889670,23409,1
2022-09-14 10:26:54.890168,22801,1
2022-09-14 10:27:04.890435,24336,2
2022-09-14 10:27:14.890854,13456,1
2022-09-14 10:27:24.891620,21904,1
2022-09-14 10:27:34.892332,21316,1
2022-09-14 10:27:44.892723,11025,1
2022-09-14 10:27:54.892842,18769,1
2022-09-14 10:28:04.893149,25921,2
2022-09-14 10:28:14.893916,18769,1
2022-09-14 10:28:24.894291,21609,1
2022-09-14 10:28:34.894576,25600,2
2022-09-14 10:28:44.894997,23104,1
2022-09-14 10:28:54.895456,17161,1
2022-09-14 10:29:04.895820,26244,2
2022-09-14 10:29:14.896784,19044,1
2022-09-14 10:29:24.896789,17161,1
2022-09-14 10:29:34.896795,17956,1
2022-09-14 10:29:44.897667,16384,1
2022-09-14 10:29:54.897777,22801,1
2022-09-14 10:30:04.898456,23716,1
2022-09-14 10:30:14.899123,23409,1
2022-09-14 10:30:24.899780,24964,2
2022-09-14 10:30:34.900490,25921,2
2022-09-14 10:30:44.900814,11025,1
2022-09-14 10:30:54.900945,12100,1
2022-09-14 10:31:04.901362,10816,1
2022-09-14 10:31:14.901718,10609,1
2022-09-14 10:31:24.902487,22500,1
2022-09-14 10:31:34.903153,24336,2
2022-09-14 10:31:44.903199,10404,1
2022-09-14 10:31:54.903923,10201,1
2022-09-14 10:32:04.904884,23409,1
2022-09-14 10:32:14.905147,24025,1
2022-09-14 10:32:24.905407,10816,1
2022-09-14 10:32:34.905716,10201,1
2022-09-14 10:32:44.906610,10404,1
2022-09-14 10:32:54.907474,10201,1
2022-09-14 10:33:04.908348,10609,1
2022-09-14 10:33:14.908747,10404,1
2022-09-14 10:33:24.909419,32761,2
2022-09-14 10:33:34.909982,47089,0
2022-09-14 10:33:44.910039,43681,0
2022-09-14 10:33:54.910233,42436,2
2022-09-14 10:34:04.910318,40804,2
2022-09-14 10:34:14.911236,42025,2
2022-09-14 10:34:24.911372,46656,0
2022-09-14 10:34:34.912014,40401,2
2022-09-14 10:34:44.912804,41209,2
2022-09-14 10:34:54.913092,38416,2
2022-09-14 10:35:04.913869,39601,2
2022-09-14 10:35:14.914816,8100,1
2022-09-14 10:35:24.915241,8100,1
2022-09-14 10:35:34.915968,24336,2
2022-09-14 10:35:44.916897,10816,1
2022-09-14 10:35:54.917677,24025,1
2022-09-14 10:36:04.918641,48400,0
2022-09-14 10:36:14.919639,46225,0
2022-09-14 10:36:24.920078,48400,0
2022-09-14 10:36:34.920826,49284,0
2022-09-14 10:36:44.920834,50176,0
2022-09-14 10:36:54.921269,9409,1
2022-09-14 10:37:04.922033,23104,1
2022-09-14 10:37:14.922422,38025,2
2022-09-14 10:37:24.922709,32400,2
2022-09-14 10:37:34.923478,32400,2
2022-09-14 10:37:44.923741,40804,2
2022-09-14 10:37:54.924001,47524,0
2022-09-14 10:38:04.924275,45369,0
2022-09-14 10:38:14.924539,46225,0
2022-09-14 10:38:24.924598,47961,0
2022-09-14 10:38:34.925131,44944,0
2022-09-14 10:38:44.925390,47524,0
2022-09-14 10:38:54.925669,44944,0
2022-09-14 10:39:04.925926,48841,0
2022-09-14 10:39:14.926696,43264,0
2022-09-14 10:39:24.926953,43264,0
2022-09-14 10:39:34.927211,46656,0
2022-09-14 10:39:44.927478,47524,0
2022-09-14 10:39:54.927737,51076,0
2022-09-14 10:40:04.928000,11025,1
2022-09-14 10:40:14.928916,50176,0
2022-09-14 10:40:24.929189,52441,0
2022-09-14 10:40:34.929667,47089,0
2022-09-14 10:40:44.930640,47524,0
2022-09-14 10:40:54.930917,40000,2
2022-09-14 10:41:04.931177,38809,2
2022-09-14 10:41:14.931340,38416,2
2022-09-14 10:41:24.931801,44521,0
2022-09-14 10:41:34.932190,41209,2
2022-09-14 10:41:44.932828,42436,2
2022-09-14 10:41:54.933162,40000,2
2022-09-14 10:42:04.933973,40804,2
2022-09-14 10:42:14.934207,41616,2
2022-09-14 10:42:24.935103,38416,2
2022-09-14 10:42:34.936075,38416,2
2022-09-14 10:42:44.936450,35344,2
2022-09-14 10:42:54.937290,1024,1
2022-09-14 10:43:04.937530,36864,2
2022-09-14 10:43:14.938486,37249,2
2022-09-14 10:43:24.939002,32761,2
2022-09-14 10:43:34.939304,36481,2
2022-09-14 10:43:44.939614,36100,2
2022-09-14 10:43:54.940162,40401,2
2022-09-14 10:44:04.940448,42025,2
